trip_date,total_trips,avg_passengers,avg_distance,avg_fare,total_tip
2024-01-01,81013,1.35,4.40,21.79,264284.64
2024-01-02,75519,1.38,4.12,20.97,265859.38
2024-01-03,82427,1.35,3.88,19.66,277524.60
2024-01-04,102901,1.32,3.31,18.42,339759.10
2024-01-05,103178,1.33,3.75,17.83,333356.72
2024-01-06,97117,1.38,3.13,17.31,295446.20
2024-01-07,67543,1.37,3.88,19.45,236380.09
2024-01-08,80034,1.26,3.51,18.70,273058.90
2024-01-09,93962,1.17,3.83,16.90,286757.16
2024-01-10,95000,1.23,3.35,17.92,323644.98
2024-01-11,105010,1.25,3.59,18.56,370943.91
2024-01-12,103655,1.30,4.23,18.55,360971.76
2024-01-13,104758,1.38,3.77,17.28,337550.18
2024-01-14,94420,1.36,3.31,17.87,308173.54
2024-01-15,77033,1.31,3.73,19.30,279363.87
2024-01-16,93057,1.20,3.72,19.17,332362.84
2024-01-17,110365,1.19,3.83,18.20,369867.43
2024-01-18,110358,1.21,3.01,17.90,370351.39
2024-01-19,95951,1.28,3.01,17.22,311721.26
2024-01-20,108768,1.31,3.54,16.53,318073.76
2024-01-21,84502,1.30,4.82,18.43,282291.99
2024-01-22,85650,1.22,3.40,18.54,295781.63
2024-01-23,99891,1.21,2.97,17.68,335802.68
2024-01-24,105120,1.22,3.51,17.72,360508.69
2024-01-25,110318,1.21,3.98,18.26,383378.98
2024-01-26,105804,1.27,3.38,17.82,354378.41
2024-01-27,110515,1.36,2.82,16.82,342094.05
2024-01-28,92837,1.28,3.33,18.07,297860.55
2024-01-29,84547,1.23,3.40,18.54,296439.16
2024-01-30,101233,1.21,6.03,17.33,339472.65
2024-01-31,102131,1.21,3.16,17.53,346143.63

Execution Time: 33.06 seconds
